INDEX,P_TARGET_FLAG,P_TARGET_AMT
350,0.6335001023,3110.64912
357,0.1903554076,698.29529
358,0.1910514985,1249.01341
360,0.0961322024,990.59177
366,0.2907142148,1497.1587
367,0.5911847898,3251.68264
368,0.2527963903,1123.74349
376,0.495877465,2518.17436
380,0.2762784362,2176.23944
388,0.1386316923,1640.58677
396,0.3879794397,1967.45624
398,0.1498420682,2181.02854
403,0.1286891606,1716.21825
410,0.2999088408,2003.72563
412,0.3300165148,2212.50883
420,0.3404897879,2095.12071
434,0.1166238085,1716.21825
440,0.4477871404,1807.61333
450,0.4402383777,1538.91534
453,0.2614964592,1032.34841
464,0.2533059319,1037.83566
465,0.0981493804,656.53865
466,0.5515488317,2645.83883
473,0.1371550505,1711.42915
476,0.261855405,2212.50883
478,0.044048895,405.99881
479,0.1481494312,1288.3755
493,0.2223539667,1640.58677
497,0.16980268,1340.40849
503,0.1189117174,865.32185
504,0.2485052969,1282.88825
505,0.4769404804,2009.21288
507,0.288290423,2893.98412
513,0.1536702482,1507.43505
519,0.2036281857,1932.88325
521,0.5026961707,2677.31912
522,0.7021170414,2385.02264
545,0.1099699836,1507.43505
549,0.1432000723,1249.01341
551,0.1891563147,990.59177
556,0.3701476399,1032.34841
557,0.2677177331,2188.91034
559,0.2248378116,2353.54235
560,0.5653538711,2212.50883
566,0.2117789353,865.32185
569,0.3205485975,2677.31912
573,0.2093862988,1763.46214
578,0.3377476325,990.59177
579,0.1323807703,1716.21825
582,0.0929086939,3035.01764
596,0.3944368023,2181.02854
598,0.5261012516,2776.596
599,0.2241222851,1878.45571
602,0.393338598,990.59177
605,0.6037225163,2645.83883
617,0.4427028014,1382.16513
619,0.3843067528,1747.69854
630,0.2454377337,2766.31965
634,0.2853442053,2478.81227
643,0.2135954727,1282.88825
645,0.1879025016,2468.53592
647,0.2471404322,1794.94243
649,0.2298194468,1032.34841
656,0.0559771039,976.88210051
657,0.2899584965,1419.13267
658,0.1543940617,1441.6923905
667,0.2147702998,1282.88825
692,0.2700819872,2301.50936
693,0.2490944501,2397.69354
698,0.6811261231,1538.91534
699,0.5657317466,2486.69407
700,0.2127102423,990.59177
704,0.2536153517,976.88210051
707,0.0977172015,1157.61833
708,0.4246000352,2429.17383
709,0.1668027359,698.29529
713,0.1536702482,740.05193
714,0.0830311918,1074.10505
716,0.3516503195,1888.73206
718,0.1536805261,865.32185
722,0.1629489995,614.78201
729,0.4536487844,1711.42915
731,0.096568496,1115.86169
733,0.5841658169,2557.53645
746,0.1416992467,1716.21825
747,0.7026453104,3327.31412
748,0.3037085073,1282.88825
753,0.2062218884,990.59177
757,0.6069825636,1544.40259
763,0.4400774501,2212.50883
767,0.1154687623,1246.61886
774,0.4765427476,1920.21235
776,0.4262740464,1920.21235
788,0.1815374008,1878.45571
794,0.0997646538,1421.52722
799,0.1307174942,1123.74349
803,0.2082687265,2343.266
806,0.7615887318,3291.04473
807,0.1230979279,747.93373
811,0.3373875694,990.59177
816,0.1046442611,1682.34341
818,0.2852999346,1282.88825
819,0.1493939345,2308.3523905
831,0.0995768111,1724.10005
835,0.3059030236,1682.34341
837,0.1992308417,1089.86865
841,0.5322526939,1886.33751
846,0.185077332,1481.44201
856,0.4604329043,1878.45571
861,0.3877338944,2212.50883
862,0.5261240488,2426.77928
863,0.6741202661,2635.56248
865,0.3677795127,1753.18579
871,0.4729289302,3110.64912
879,0.4777268838,1580.67198
880,0.0791122463,948.83513
881,0.3025702715,1256.89521
885,0.1985885088,1079.5923
887,0.147238397,1282.88825
892,0.07739211,976.88210051
898,0.0753125378,698.29529
900,0.2215374948,1282.88825
904,0.2881332055,2212.50883
906,0.3481910895,2893.98412
910,0.2476987164,2147.1537
912,0.4566471988,2567.8128
913,0.2920520113,1724.10005
919,0.0920164589,1074.10505
924,0.2485052969,1282.88825
925,0.3189800313,1964.36354
930,0.1731109363,990.59177
940,0.1969477617,2259.75272
941,0.1390375045,948.83513
946,0.197159881,1441.6923905
949,0.3767637864,1413.64542
951,0.1222555809,1040.23021
962,0.229722723,1282.88825
966,0.2579879286,948.83513
967,0.0763570615,948.83513
971,0.4052715121,1499.55325
981,0.3288360123,1371.88878
982,0.2152043521,1716.21825
983,0.0987448323,948.83513
984,0.0542955093,823.56521
989,0.2350887326,865.32185
990,0.4624824169,2385.02264
992,0.4206456192,1878.45571
995,0.2485052969,1032.34841
996,0.2858400113,1711.42915
998,0.2148697102,1081.98685
1001,0.1688169518,1340.40849
1007,0.1444088791,823.56521
1008,0.0301333586,531.26873
1016,0.2569132152,990.59177
1022,0.0994864621,1081.98685
1027,0.2587732518,1932.88325
1032,0.3463682358,1794.94243
1033,0.176417197,1123.74349
1041,0.3838604922,1544.40259
1065,0.5714927546,1716.21825
1074,0.6036592572,2933.34621
1075,0.2152664474,990.59177
1081,0.1593300266,1423.92177
1094,0.064160722,912.56574
1099,0.5003499999,990.59177
1105,0.5961069083,3110.64912
1123,0.1899638928,1711.42915
1135,0.0799571373,1282.88825
1142,0.1812461961,1747.69854
1155,0.1200270266,1032.34841
1169,0.2719858249,1282.88825
1176,0.1148151652,698.29529
1178,0.6009212284,1878.45571
1180,0.1684596519,1282.88825
1184,0.0785726224,823.56521
1185,0.3431632907,2181.02854
1193,0.2367087797,698.29529
1196,0.1608348222,1413.64542
1199,0.306443353,1282.88825
1203,0.3200231772,2233.75968
1205,0.1388090098,1423.92177
1207,0.2204529561,1282.88825
1208,0.6800546069,1711.42915
1212,0.2490944501,2363.8187
1213,0.5527861776,2003.72563
1222,0.1032404306,1081.98685
1223,0.2032737514,1032.34841
1226,0.2485052969,823.56521
1227,0.3476806624,2677.31912
1229,0.1099699836,990.59177
1230,0.3729814786,1163.10558
1231,0.3160682415,2601.68764
1241,0.2311975024,1598.83013
1243,0.2125594591,1282.88825
1244,0.1894024197,1032.34841
1246,0.1255676636,948.83513
1248,0.1416992467,1724.10005
1249,0.3039480998,698.29529
1252,0.1049460995,614.78201
1261,0.0950797178,996.07902
1275,0.1072416722,907.07849
1281,0.7152089279,1282.88825
1285,0.2268182593,2366.21325
1288,0.3048137453,907.07849
1290,0.1295645634,740.05193
1291,0.1784287825,1282.88825
1304,0.6081285085,1977.73259
1305,0.1815767827,781.80857
1323,0.4196904708,1753.18579
1342,0.2866014356,1390.04693
1348,0.2114321412,2429.17383
1353,0.1945738474,1716.21825
1363,0.1776828327,1032.34841
1371,0.279500261,1635.79767
1372,0.291100585,1711.42915
1378,0.3575978119,2303.90391
1381,0.1568168892,1032.34841
1382,0.3822757391,1497.1587
1393,0.2966952571,2262.14727
1394,0.1545551902,781.80857
1398,0.318854571,1747.69854
1404,0.3178032,573.02537
1405,0.4813267639,2677.31912
1419,0.2606720653,1421.52722
1421,0.1328823221,1282.88825
1426,0.3604065593,1672.06706
1431,0.3388272655,1441.6923905
1435,0.0914402916,1256.89521
1437,0.1350928018,1499.55325
1438,0.2297230466,1330.13214
1442,0.4456854509,3110.64912
1464,0.2081736584,781.80857
1471,0.2122008075,1421.52722
1473,0.1944757673,1282.88825
1476,0.2765379557,990.59177
1478,0.2011652594,1282.88825
1479,0.5792094317,1471.16566
1487,0.3542334881,2220.39063
1492,0.4235297437,1282.88825
1496,0.1009576961,1282.88825
1497,0.2673126753,1972.24534
1515,0.1513474495,1282.88825
1519,0.2458218038,823.56521
1522,0.6348457512,2645.83883
1526,0.235070177,2611.96399
1537,0.1007661496,976.88210051
1538,0.5942136763,2901.86592
1540,0.1594541054,1282.88825
1543,0.1595364681,1596.43558
1548,0.2282795568,781.80857
1549,0.2372858481,2003.72563
1556,0.6400113851,1920.21235
1564,0.1414950852,865.32185
1570,0.2989324905,1635.79767
1577,0.3958876418,3110.64912
1585,0.2975636976,781.80857
1590,0.2244690572,698.29529
1592,0.6254400214,2677.31912
1594,0.4675476595,1967.45624
1596,0.5713967813,1836.69907
1598,0.096568496,1306.53365
1603,0.1827802859,1207.25677
1607,0.1630342558,2003.72563
1612,0.1099699836,1032.34841
1627,0.1732670424,1115.86169
1629,0.6204697146,948.83513
1630,0.1367007442,1115.86169
1640,0.5207740213,2385.02264
1641,0.195521467,3110.64912
1646,0.1629489995,656.53865
1662,0.3503661761,1282.88825
1668,0.2139511337,740.05193
1671,0.3216423267,907.07849
1672,0.3029658556,2784.4778
1673,0.7612525092,3543.97912
1686,0.4839763871,2343.266
1688,0.4295224027,1538.91534
1696,0.0946145507,956.71693
1701,0.2321137687,1282.88825
1707,0.1964823598,823.56521
1708,0.0741281839,907.07849
1713,0.2710576622,1747.69854
1715,0.1314540846,706.17709
1717,0.1214534954,1932.88325
1721,0.3503810054,1724.10005
1724,0.8179172625,3327.31412
1725,0.3791859494,3076.77428
1730,0.2144849575,2181.02854
1731,0.3875126981,1920.21235
1734,0.3677234254,2003.72563
1740,0.1121032568,907.07849
1748,0.080524462,740.05193
1749,0.0870054984,740.05193
1750,0.2500077994,1499.55325
1763,0.1761394514,948.83513
1768,0.0559345576,823.56521
1773,0.3115900607,3575.45941
1777,0.1493925995,614.78201
1778,0.5660054979,1961.96899
1780,0.1333361443,1382.16513
1782,0.1151187199,1538.91534
1784,0.1533675585,990.59177
1786,0.1341117113,1282.88825
1787,0.10321307,1074.10505
1792,0.3378263715,1586.15923
1800,0.452739789,2476.41772
1801,0.2181919733,976.88210051
1803,0.1096217444,781.80857
1804,0.4134521467,948.83513
1807,0.0196858438,656.53865
1818,0.3708790017,990.59177
1821,0.1589222171,907.07849
1822,0.16831603,1716.21825
1828,0.0970434925,976.88210051
1833,0.2218130505,1290.77005
1844,0.3021559221,2212.50883
1847,0.2673126753,1964.36354
1850,0.1280114608,740.05193
1854,0.5384867841,2343.266
1858,0.3478625922,2693.08272
1864,0.121063243,990.59177
1867,0.0963797823,1690.22521
1876,0.4971250317,2149.54825
1880,0.1336198823,614.78201
1881,0.2743202434,2212.50883
1891,0.1236104762,1338.01394
1894,0.2570509973,1538.91534
1895,0.2084895479,1716.21825
1901,0.2078347464,1598.83013
1905,0.0763279139,1282.88825
1912,0.1509293386,1928.09415
1918,0.2902125575,2645.83883
1921,0.5727373771,1716.21825
1923,0.237175885,976.88210051
1924,0.1905180189,2371.3129705
1931,0.0808967784,964.59873
1941,0.2006343583,1157.61833
1950,0.102634146,823.56521
1951,0.1110810778,865.32185
1954,0.2128814868,823.56521
1961,0.634162551,2599.29309
1966,0.1429139963,1465.67841
1979,0.1061007748,948.83513
1982,0.1629489995,614.78201
1987,0.4482481355,1115.86169
1997,0.4859617891,3189.3733
2004,0.0403325644,698.29529
2011,0.4347750403,1457.79661
2015,0.3160682415,2943.62256
2025,0.2264841466,907.07849
2033,0.2546105468,1977.73259
2034,0.1131127051,1423.92177
2035,0.0929808144,1499.55325
2036,0.4056205026,948.83513
2053,0.5083208103,2212.50883
2059,0.556116075,3327.31412
2060,0.2227868573,1724.10005
2073,0.2856103648,2217.99608
2084,0.4431513497,2677.31912
2089,0.2604618555,1040.23021
2092,0.1530997825,1716.21825
2109,0.3364992514,1032.34841
2129,0.3054671143,1964.36354
2134,0.2392231138,2301.50936
2135,0.0477974406,781.80857
2148,0.1669330732,1040.23021
2149,0.096568496,1716.21825
2150,0.309049065,1502.64595
2165,0.4222622689,2144.75915
2166,0.0622202339,364.24217
2168,0.0837522568,781.80857
2170,0.2239162039,2128.99555
2171,0.1463490563,907.07849
2172,0.0517341657,781.80857
2176,0.2035509823,1282.88825
2182,0.0907892401,990.59177
2189,0.3474708848,1123.74349
2191,0.2485052969,1032.34841
2197,0.1184336917,1632.70497
2202,0.3380715296,1724.10005
2203,0.0916130386,614.78201
2204,0.3759611415,907.07849
2206,0.3448684646,1507.43505
2218,0.0966468021,1499.55325
2219,0.2754650633,1330.13214
2221,0.2778965322,1747.69854
2226,0.1351423163,1598.83013
2228,0.3232877035,990.59177
2232,0.5782667772,1497.1587
2236,0.2336911454,1557.07349
2241,0.8025519804,2677.31912
2245,0.1210800499,698.29529
2251,0.1910812112,2181.02854
2255,0.2001874841,1074.10505
2256,0.1903610152,1199.37497
2259,0.2442462297,614.78201
2263,0.14501427,2395.29899
2264,0.1260445127,976.88210051
2267,0.1481056509,531.26873
2273,0.4738511112,3327.31412
2277,0.3037085073,1499.55325
2287,0.2261093817,656.53865
2289,0.2782036934,1497.1587
2291,0.1374167943,1288.3755
2296,0.6879816144,2343.266
2299,0.4032926927,1410.2121005
2306,0.1778871566,1282.88825
2314,0.5044713412,1711.42915
2317,0.1892785301,1544.40259
2318,0.2357864049,2230.66698
2321,0.7208186736,3110.64912
2324,0.255918387,2468.53592
2340,0.096568496,1499.55325
2343,0.0881267859,698.29529
2349,0.2309450966,1711.42915
2352,0.3683890266,1906.5026805
2353,0.2091795778,1032.34841
2365,0.6068045669,2003.72563
2370,0.2774760596,2645.83883
2378,0.2201148089,1499.55325
2390,0.3795630722,1371.88878
2399,0.2654758008,2403.18079
2402,0.4497759384,2985.3792
2403,0.2651239152,1507.43505
2404,0.1056155899,1282.88825
2414,0.2321442458,2134.4828
2422,0.1695088937,1465.67841
2424,0.180327988,1282.88825
2430,0.3898573191,531.26873
2435,0.2142411421,1546.79714
2439,0.294371736,1157.61833
2442,0.5813323496,1925.6996
2445,0.2855660151,3052.7882605
2449,0.3296419908,2309.39116
2451,0.2485052969,1282.88825
2461,0.6872808612,2397.69354
2464,0.1629489995,1716.21825
2465,0.5537891886,3291.04473
2472,0.1952422822,1282.88825
2476,0.513007311,2933.34621
2482,0.1362176017,1282.88825
2487,0.4171087531,2339.8326805
2498,0.2210388931,1805.21878
2501,0.1063379596,976.88210051
2504,0.3413712892,1928.09415
2511,0.2047298095,1765.85669
2518,0.1412474731,1716.21825
2521,0.1318596909,976.88210051
2530,0.1926945992,990.59177
2543,0.607142388,3366.67621
2545,0.2881186068,1471.16566
2561,0.2634367527,976.88210051
2566,0.4356982658,2212.50883
2572,0.1192399217,1290.77005
2577,0.2765379557,698.29529
2578,0.1728948506,948.83513
2580,0.3850239798,1878.45571
2581,0.2349863662,1246.61886
2582,0.1055154926,1165.50013
2584,0.1287552898,781.80857
2590,0.0956604937,1081.98685
2598,0.1224757852,2024.27833
2602,0.226495595,1747.69854
2605,0.2134413822,1288.3755
2616,0.0979560721,405.99881
2618,0.311002064,990.59177
2619,0.4389389297,1455.40206
2624,0.0972894979,907.07849
2632,0.1027245019,948.83513
2640,0.3579953362,948.83513
2646,0.1161483126,865.32185
2651,0.1445963976,907.07849
2660,0.0748040759,740.05193
2661,0.074206006,698.29529
2668,0.2485052969,1282.88825
2670,0.2829648403,1627.91587
2680,0.3719927172,1630.31042
2681,0.0585050466,948.83513
2689,0.2239376144,1961.96899
2694,0.1128394809,656.53865
2695,0.7602210784,2343.266
2696,0.3498919941,1282.88825
2702,0.2856103648,2426.77928
2704,0.1952922181,1340.40849
2708,0.182665829,1598.83013
2709,0.0513789537,1282.88825
2714,0.2114951614,1282.88825
2716,0.3805757619,698.29529
2723,0.2223355029,907.07849
2725,0.1979076572,2212.50883
2738,0.2485052969,1282.88825
2750,0.149597069,1632.70497
2756,0.2141503053,2645.83883
2758,0.0698261192,1131.62529
2766,0.235070177,2212.50883
2767,0.1338752106,1716.21825
2771,0.354255784,2836.1232605
2775,0.3263724545,3283.16293
2776,0.2146748282,1622.42862
2779,0.5601420977,1716.21825
2780,0.118022373,1716.21825
2781,0.3959330182,2587.9779705
2782,0.5948773575,2893.98412
2783,0.1536702482,990.59177
2796,0.1732670424,1282.88825
2798,0.3545817336,781.80857
2800,0.0935922116,1123.74349
2803,0.0763980808,1241.13161
2806,0.0978103406,948.83513
2813,0.3583563717,990.59177
2818,0.1110383116,1711.42915
2821,0.2288797209,1626.8771005
2825,0.2048015615,1753.18579
2829,0.13748995,1716.21825
2830,0.6242671462,2087.23891
2833,0.1520053469,1032.34841
2839,0.5119323081,2862.50383
2843,0.12477274,823.56521
2846,0.0982417158,698.29529
2847,0.2190176894,656.53865
2848,0.3728842558,1249.01341
2856,0.5003499999,1932.88325
2863,0.4443094784,2366.21325
2867,0.0984541377,1340.40849
2869,0.1931548443,1330.13214
2873,0.1155425567,990.59177
2874,0.2154014144,2021.88378
2875,0.3829263211,2212.50883
2880,0.3678741203,1682.34341
2886,0.2521047974,2339.8326805
2887,0.3941458218,2828.62899
2888,0.093723225,1716.21825
2889,0.4025142342,1382.16513
2890,0.2106658205,1207.25677
2892,0.5963134129,2212.50883
2901,0.3935828129,2893.98412
2902,0.1548199699,614.78201
2905,0.2314266944,948.83513
2917,0.3650725879,2097.51526
2922,0.5136565467,2601.68764
2924,0.1304315298,1590.94833
2930,0.195306935,1669.67251
2931,0.1719034089,990.59177
2946,0.1977770437,1499.55325
2955,0.411003572,1920.21235
2962,0.1232978574,990.59177
2964,0.0950823767,1423.92177
2965,0.322348475,1815.49513
2967,0.2117789353,865.32185
2970,0.0734885028,1431.80357
2973,0.5104385876,2776.596
2974,0.1879606912,656.53865
2976,0.5118733834,2614.35854
2977,0.3047098078,1282.88825
2978,0.1943421116,1669.67251
2986,0.1289647978,740.05193
2988,0.2665988487,3035.01764
2989,0.0962070371,1282.88825
2995,0.6823668402,2212.50883
3005,0.4391823041,1455.40206
3011,0.0971796437,1032.34841
3013,0.134128362,990.59177
3019,0.7156061382,2343.266
3021,0.262541626,1282.88825
3022,0.2944869106,781.80857
3029,0.1099699836,1716.21825
3037,0.216997494,1669.67251
3042,0.1069083157,1753.18579
3043,0.173274775,1204.86222
3049,0.1621247184,656.53865
3050,0.5199075695,2181.02854
3053,0.1894182213,781.80857
3058,0.1981982086,2778.99055
3062,0.1988774979,2212.50883
3063,0.2299723524,1658.3573905
3065,0.191309217,1932.88325
3080,0.0721426614,698.29529
3088,0.2954852158,1413.64542
3093,0.3123934096,2055.75862
3096,0.3129859145,1282.88825
3101,0.2608385558,2212.50883
3103,0.2595825669,2556.4976805
3107,0.1521051196,976.88210051
3109,0.0970018861,1074.10505
3111,0.1137762118,1157.61833
3113,0.39281375,2570.20735
3116,0.0652285399,1207.25677
3132,0.2016267878,2429.17383
3141,0.1254788677,656.53865
3153,0.2359074456,1340.40849
3154,0.1041865672,531.26873
3160,0.2565488617,948.83513
3167,0.273788626,976.88210051
3170,0.3635152221,1288.3755
3173,0.39209928,2426.77928
3174,0.5084185142,2134.4828
3177,0.0993763762,990.59177
3179,0.2128070243,1282.88825
3184,0.3644663737,2601.68764
3190,0.5298679772,2343.266
3193,0.096568496,976.88210051
3199,0.2059898636,1747.69854
3201,0.0578864494,740.05193
3202,0.2335271439,990.59177
3203,0.4907087325,2217.99608
3206,0.5904311226,2893.98412
3209,0.1964382917,1282.88825
3210,0.1904515186,2645.83883
3217,0.1895047966,1215.13857
3220,0.1702161777,1256.89521
3228,0.460801945,2993.261
3232,0.0728282721,573.02537
3239,0.0746609276,956.71693
3243,0.3275752673,3625.09785
3245,0.1566697288,740.05193
3246,0.2426367585,1465.67841
3251,0.0726636047,914.96029
3253,0.1506600305,1282.88825
3257,0.0939829991,1249.01341
3260,0.1093009361,1282.88825
3261,0.1969168107,1032.34841
3263,0.2910891914,2212.50883
3278,0.151736355,976.88210051
3281,0.2504060732,1747.69854
3283,0.262541626,1032.34841
3290,0.1914227978,865.32185
3297,0.3712816882,1679.94886
3304,0.0728692372,698.29529
3305,0.4306916614,1032.34841
3307,0.096568496,656.53865
3308,0.2705868626,2570.20735
3313,0.1980528986,1157.61833
3314,0.4129414014,2677.31912
3317,0.2586718388,1032.34841
3348,0.0561053182,1131.62529
3350,0.2717211664,1883.94296
3359,0.2048881438,614.78201
3367,0.2180517447,1115.86169
3376,0.166180458,1282.88825
3378,0.507099248,2685.20092
3384,0.533851038,3327.31412
3386,0.2689441796,1499.55325
3387,0.1086393044,781.80857
3388,0.3238135464,2212.50883
3390,0.1271716749,1282.88825
3391,0.2396503393,1157.61833
3396,0.1321472217,1193.5471005
3398,0.1032896314,1199.37497
3404,0.0722002803,573.02537
3406,0.1466042565,1932.88325
3407,0.2000262141,1282.88825
3414,0.1746579406,531.26873
3419,0.096568496,280.72889
3423,0.3024095172,1747.69854
3427,0.1265466026,1716.21825
3432,0.1611544561,656.53865
3434,0.0986463125,976.88210051
3438,0.0877006782,823.56521
3442,0.2143432271,865.32185
3443,0.3065124719,1282.88825
3448,0.1275270483,976.88210051
3456,0.2485052969,1282.88825
3464,0.2353296356,1282.88825
3470,0.231122983,2147.1537
3475,0.1973809419,1932.88325
3477,0.2545000371,1977.73259
3490,0.1166166102,823.56521
3493,0.2372302343,1074.10505
3502,0.2758087676,2556.4976805
3508,0.296561804,1747.69854
3516,0.0854858547,1374.28333
3517,0.1741162955,2144.75915
3525,0.270098888,698.29529
3532,0.4936753374,1455.40206
3535,0.1536702482,1340.40849
3536,0.3612266738,2611.96399
3540,0.1228322652,1115.86169
3547,0.1808397744,1969.85079
3550,0.4371848358,2528.45071
3557,0.3971447715,2397.69354
3562,0.5003499999,1282.88825
3563,0.0596911793,976.88210051
3564,0.1281438621,714.05889
3570,0.3574682456,865.32185
3573,0.2673126753,1964.36354
3577,0.3649186606,1716.21825
3579,0.5174325085,2836.1232605
3581,0.1732670424,948.83513
3587,0.3208070058,1032.34841
3602,0.1724639566,1716.21825
3609,0.4989572158,1753.18579
3612,0.2324147203,865.32185
3621,0.132035206,1382.16513
3642,0.1977873797,823.56521
3647,0.3266036239,1932.88325
3649,0.3644393102,2818.35264
3654,0.4444617605,2397.69354
3660,0.4555433032,2677.31912
3665,0.533953763,1664.18526
3669,0.25656435,2009.21288
3673,0.3552296842,1586.15923
3675,0.7142789026,1413.64542
3678,0.1910812112,2272.42362
3680,0.3337444981,1455.40206
3686,0.4887019235,1747.69854
3693,0.3270741022,1079.5923
3710,0.4406196218,948.83513
3713,0.1344215479,1282.88825
3718,0.2711970788,3035.01764
3725,0.1034954159,1932.88325
3726,0.1951715537,976.88210051
3747,0.2123024822,1961.96899
3753,0.1069217168,1724.10005
3754,0.2286118663,1878.45571
3760,0.6783695075,1282.88825
3763,0.1576871434,238.97225
3765,0.2519041497,1471.16566
3769,0.1701399987,1747.69854
3771,0.4966886106,2212.50883
3784,0.1595061707,1115.86169
3787,0.3230482134,2570.20735
3794,0.3671441818,1515.31685
3796,0.2328418939,976.88210051
3798,0.0959406143,948.83513
3809,0.1319465922,1282.88825
3812,0.3091214283,956.71693
3819,0.1836200638,1626.8771005
3828,0.1910812112,1288.3755
3831,0.1357539963,1282.88825
3833,0.1695977022,865.32185
3837,0.4948251848,2695.47727
3839,0.3367610704,2181.02854
3843,0.2958173952,1507.43505
3846,0.393338598,1282.88825
3854,0.1327820157,1507.43505
3861,0.1264783956,447.75545
3864,0.1870512094,1032.34841
3868,0.0793645794,781.80857
3869,0.1329237581,1465.67841
3870,0.1119442525,1382.16513
3883,0.1401653962,1282.88825
3886,0.1536702482,1032.34841
3889,0.2894030611,1288.3755
3894,0.4266720579,3327.31412
3907,0.1914702915,656.53865
3910,0.1099699836,1282.88825
3913,0.112960527,907.07849
3914,0.189348162,1935.97595
3921,0.1734745223,1282.88825
3923,0.217235386,990.59177
3929,0.3026856336,1499.55325
3931,0.5613171197,1747.69854
3932,0.5502557763,1920.21235
3937,0.4931254332,2343.266
3943,0.1705505303,1724.10005
3956,0.5286845896,1390.04693
3957,0.2937419832,1836.69907
3961,0.4615791486,2301.50936
3971,0.140882664,823.56521
4004,0.136516754,447.75545
4005,0.0624066346,907.07849
4006,0.1564821625,1282.88825
4011,0.1439233249,1115.86169
4013,0.1500360274,531.26873
4014,0.1247919277,1282.88825
4016,0.2279031724,1549.19169
4017,0.1247977161,1282.88825
4020,0.2052079702,1499.55325
4022,0.2638315737,573.02537
4026,0.1629489995,698.29529
4032,0.1567290602,907.07849
4043,0.0579295579,1586.15923
4045,0.1357117666,1173.38193
4048,0.2030375061,698.29529
4051,0.3184268328,1886.33751
4052,0.1996900486,998.47357
4056,0.1155831658,1282.88825
4059,0.0945423781,489.51209
4069,0.1245248046,1423.92177
4074,0.1963012068,1455.40206
4076,0.3352313313,976.88210051
4077,0.5136833371,1886.33751
4079,0.6581707064,1455.40206
4081,0.5703482923,1747.69854
4088,0.1232057596,976.88210051
4105,0.2638432439,1032.34841
4125,0.1344659851,781.80857
4134,0.3561233904,1747.69854
4139,0.0857323963,990.59177
4146,0.2505331228,990.59177
4149,0.1017512785,976.88210051
4151,0.7036368604,2601.68764
4155,0.1289795994,907.07849
4157,0.154100366,865.32185
4168,0.2706946642,2149.54825
4170,0.3022915166,2385.02264
4174,0.0931103107,614.78201
4179,0.1996110951,1721.7055
4185,0.0485949582,489.51209
4199,0.6186100754,3664.45994
4205,0.0765402013,823.56521
4208,0.1665328488,990.59177
4211,0.3432492443,1747.69854
4212,0.0676990876,948.83513
4215,0.4708877617,1747.69854
4217,0.1249740162,976.88210051
4219,0.5569662459,2136.87735
4226,0.3657524779,2862.50383
4227,0.2399050755,1888.73206
4229,0.0433139747,1282.88825
4231,0.0878574243,1932.88325
4233,0.1424711696,948.83513
4237,0.2537103651,1580.67198
4243,0.55689365,3016.85949
4248,0.3699927573,1549.19169
4255,0.0901807378,1165.50013
4262,0.2422766049,1716.21825
4266,0.4278569835,2429.17383
4268,0.2257661814,1282.88825
4270,0.6068045669,2645.83883
4273,0.0820705454,1374.28333
4276,0.1439134816,614.78201
4277,0.1624873052,823.56521
4279,0.4012808655,1502.64595
4299,0.1297148178,990.59177
4313,0.2362217047,823.56521
4322,0.1335905726,1165.50013
4324,0.2482656187,1282.88825
4328,0.3560494212,1964.36354
4331,0.2485052969,1410.2121005
4335,0.2616465802,2212.50883
4337,0.3736367201,2677.31912
4338,0.3126074788,1502.64595
4343,0.2109329141,1282.88825
4347,0.1452532207,865.32185
4355,0.5561074778,1972.24534
